UserID,UserCred,SharedNews,avgCred,deviation
User14,0.0,1,0.0,0.0
User16,0.0,1,0.0,0.0
User9,0.0,1,0.0,0.0
User13,0.0,1,0.0,0.0
User11,0.0,1,0.0,0.0
User4,0.0,1,0.0,0.0
User3,0.047,1,0.0,0.04699999839067459
User2,0.0,1,0.0,0.0
User19,0.019,4,0.0,0.01899999938905239
User10,0.031,2,0.0,0.03099999949336052
User12,0.0,1,0.0,0.0
User21,0.0,1,0.0,0.0
User33,0.486,2,0.5,0.013999998569488525
User36,0.0,2,0.0,0.0
User35,0.0,1,0.0,0.0
User38,0.0,1,0.0,0.0
User37,0.0,1,0.0,0.0
User42,0.0,1,0.0,0.0
User48,0.0,2,0.0,0.0
User28,0.0,1,0.0,0.0
User44,0.0,1,0.0,0.0
User51,0.515,7,0.5714286,0.056428611278533936
User24,0.0,1,0.0,0.0
User53,0.0,1,0.0,0.0
User68,0.047,1,0.0,0.04699999839067459
User57,0.047,1,0.0,0.04699999839067459
User75,0.0,1,0.0,0.0
User77,0.0,1,0.0,0.0
User80,0.0,1,0.0,0.0
User81,0.0,1,0.0,0.0
User79,0.0,1,0.0,0.0
User82,0.0,2,0.0,0.0
User78,0.0,1,0.0,0.0
User32,0.0,1,0.0,0.0
User74,0.348,2,0.5,0.15200001001358032
User88,0.031,2,0.0,0.03099999949336052
User83,0.0,1,0.0,0.0
User85,0.0,1,0.0,0.0
User91,0.0,1,0.0,0.0
User93,0.041,3,0.0,0.04100000113248825
User95,0.0,4,0.0,0.0
User96,0.012,7,0.0,0.012000000104308128
User89,0.0,1,0.0,0.0
User94,0.0,1,0.0,0.0
User99,0.0,1,0.0,0.0
User102,0.0,1,0.0,0.0
User101,0.0,1,0.0,0.0
User106,0.0,1,0.0,0.0
User109,0.047,1,0.0,0.04699999839067459
User107,0.0,2,0.0,0.0
User113,0.0,1,0.0,0.0
User116,0.0,1,0.0,0.0
User108,0.0,1,0.0,0.0
User117,0.321,3,0.33333334,0.012333333492279053
User115,0.0,1,0.0,0.0
User118,0.0,1,0.0,0.0
User119,0.073,1,0.0,0.0729999989271164
User111,0.486,2,0.5,0.013999998569488525
User120,0.0,1,0.0,0.0
User121,0.0,1,0.0,0.0
User132,0.321,3,0.33333334,0.012333333492279053
User130,0.0,1,0.0,0.0
User136,0.0,1,0.0,0.0
User138,0.0,1,0.0,0.0
User133,0.791,5,0.8,0.009000003337860107
User140,0.0,1,0.0,0.0
User149,0.0,1,0.0,0.0
User150,0.0,1,0.0,0.0
User152,0.0,1,0.0,0.0
User148,0.0,1,0.0,0.0
User162,0.558,7,0.5714286,0.013428568840026855
User166,0.0,1,0.0,0.0
User157,0.0,1,0.0,0.0
User170,0.0,2,0.0,0.0
User169,0.0,1,0.0,0.0
User167,0.0,1,0.0,0.0
User172,0.0,1,0.0,0.0
User159,0.0,1,0.0,0.0
User176,0.0,1,0.0,0.0
User179,0.0,1,0.0,0.0
User180,0.0,1,0.0,0.0
User183,0.0,2,0.0,0.0
User175,0.486,2,0.5,0.013999998569488525
