id,iteration_number,objective,Model,Dataset,Fold_number,fold_id,performance_id
Iteration43,43,2068.163999999922,Model2,Data2,1,Fold91,Performance91
Iteration44,44,2067.9129999999222,Model2,Data2,1,Fold91,Performance91
Iteration45,45,2067.528999999936,Model2,Data2,1,Fold91,Performance91
Iteration46,46,2067.6999999999307,Model2,Data2,1,Fold91,Performance91
Iteration47,47,2067.752999999931,Model2,Data2,1,Fold91,Performance91
Iteration48,48,2067.667999999932,Model2,Data2,1,Fold91,Performance91
Iteration49,49,2067.712999999935,Model2,Data2,1,Fold91,Performance91
Iteration50,50,2067.816999999944,Model2,Data2,1,Fold91,Performance91
Iteration51,51,2067.5829999999364,Model2,Data2,1,Fold91,Performance91
Iteration52,52,2067.5899999999315,Model2,Data2,1,Fold91,Performance91
Iteration53,53,2067.570999999922,Model2,Data2,1,Fold91,Performance91
Iteration54,54,2067.6159999999213,Model2,Data2,1,Fold91,Performance91
Iteration55,55,2067.6149999999216,Model2,Data2,1,Fold91,Performance91
Iteration56,56,2067.5759999999227,Model2,Data2,1,Fold91,Performance91
Iteration57,57,2067.6689999999294,Model2,Data2,1,Fold91,Performance91
Iteration58,58,2067.4459999999353,Model2,Data2,1,Fold91,Performance91
Iteration59,59,2067.704999999931,Model2,Data2,1,Fold91,Performance91
Iteration60,60,2067.4709999999345,Model2,Data2,1,Fold91,Performance91
