RuleID,Atom_id,Negated,Model,Dataset,Fold_number,fold_id
GR99,RVA10215,true,Model2,Data1,1,Fold1
GR100,RVA10213,true,Model2,Data1,1,Fold1
GR101,RVA10229,true,Model2,Data1,1,Fold1
GR102,RVA10226,true,Model2,Data1,1,Fold1
GR103,RVA10226,true,Model2,Data1,1,Fold1
GR103,RVA8378,true,Model2,Data1,1,Fold1
GR104,RVA10219,true,Model2,Data1,1,Fold1
GR105,RVA10226,true,Model2,Data1,1,Fold1
GR105,RVA8356,true,Model2,Data1,1,Fold1
GR106,RVA10247,true,Model2,Data1,1,Fold1
GR106,RVA773,true,Model2,Data1,1,Fold1
GR107,RVA10243,true,Model2,Data1,1,Fold1
GR108,RVA10245,true,Model2,Data1,1,Fold1
GR108,RVA846,true,Model2,Data1,1,Fold1
GR109,RVA10250,true,Model2,Data1,1,Fold1
GR110,RVA10292,true,Model2,Data1,1,Fold1
GR111,RVA10283,true,Model2,Data1,1,Fold1
GR112,RVA10287,true,Model2,Data1,1,Fold1
GR113,RVA10285,true,Model2,Data1,1,Fold1
GR114,RVA10290,true,Model2,Data1,1,Fold1
GR115,RVA10220,true,Model2,Data1,1,Fold1
GR115,RVA778,true,Model2,Data1,1,Fold1
GR116,RVA10314,true,Model2,Data1,1,Fold1
GR117,RVA10315,true,Model2,Data1,1,Fold1
GR118,RVA10351,true,Model2,Data1,1,Fold1
GR119,RVA10349,true,Model2,Data1,1,Fold1
GR120,RVA10316,true,Model2,Data1,1,Fold1
GR121,RVA10292,true,Model2,Data1,1,Fold1
GR122,RVA10360,true,Model2,Data1,1,Fold1
GR122,RVA9558,true,Model2,Data1,1,Fold1
GR123,RVA10356,true,Model2,Data1,1,Fold1
GR123,RVA778,true,Model2,Data1,1,Fold1
GR124,RVA10353,true,Model2,Data1,1,Fold1
GR124,RVA773,true,Model2,Data1,1,Fold1
GR125,RVA10248,true,Model2,Data1,1,Fold1
GR125,RVA5710,true,Model2,Data1,1,Fold1
GR126,RVA10395,true,Model2,Data1,1,Fold1
GR127,RVA10397,true,Model2,Data1,1,Fold1
GR127,RVA5710,true,Model2,Data1,1,Fold1
GR128,RVA10395,true,Model2,Data1,1,Fold1
GR129,RVA10401,true,Model2,Data1,1,Fold1
GR130,RVA10354,true,Model2,Data1,1,Fold1
GR131,RVA10394,true,Model2,Data1,1,Fold1
GR131,RVA836,true,Model2,Data1,1,Fold1
GR132,RVA10395,true,Model2,Data1,1,Fold1
GR133,RVA10426,true,Model2,Data1,1,Fold1
GR134,RVA10398,true,Model2,Data1,1,Fold1
GR135,RVA10400,true,Model2,Data1,1,Fold1
GR136,RVA10424,true,Model2,Data1,1,Fold1
GR137,RVA10399,true,Model2,Data1,1,Fold1
